brand_id,legal_name,brand_name,entity_type,website,description,founder,years
3edd4e7b-8665-4884-a0b1-8e5ee44b263d,8DIO Productions LLC,8DIO,Manufacturer,https://8dio.com/,,,
fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,Ableton Inc.,Ableton,Manufacturer,https://www.ableton.com/,,,
3f113207-ea84-4ba2-8eb7-90f802e2ee7a,Beijing Ample Sound Technology Co. Ltd.,Ample Sound,Manufacturer,https://www.amplesound.net/,,,
07c4b938-7505-4597-9461-cebfb162ae82,Antares Audio Technologies,Antares,Manufacturer,https://www.antarestech.com/,,,
ea02082d-1715-4dfc-b954-3c0074cb4704,Arobas Music,Arobas Music,Manufacturer,https://www.guitar-pro.com/,,,
7e66e7b3-acb0-484b-a0a1-856cb4faa981,Arturia SAS,Arturia,Manufacturer,https://arturia.com,,,
b70b5789-f0d3-410a-861d-5165a3421a75,Audiomodern LTD.,Audiomodern,Manufacturer,https://audiomodern.com,,,
901dfeba-ae49-4168-995f-e8e47507694b,basehead,basehead,Manufacturer,https://baseheadinc.com,,,
6509afa9-b5b5-4e70-9c17-21210f076c9f,"inMusic, Inc.",BFD,Manufacturer,https://bfddrums.com,,,
4637e6a0-dffd-45fd-a2cc-2d7f65520b28,Celemony Software GmbH,Celemony,Manufacturer,https://www.celemony.com,,,
2634cdbd-2791-45bd-9ef3-c784240d4c05,Eventide Inc.,Eventide,Manufacturer,https://www.eventideaudio.com/,,,
a2e6ee1b-5bb1-4655-ad8d-54d8a07eeba2,FabFilter B.V.,FabFilter,Manufacturer,https://www.fabfilter.com/,,,
71b60e58-200a-4c5a-a148-25bb1e02cda8,GForce Software Ltd,GForce,Manufacturer,https://www.gforcesoftware.com/,,,
8f203eb9-bf4c-43d2-95c8-7784eb515880,"Heavyocity Media, Inc.",Heavyocity,Manufacturer,https://heavyocity.com,,,
acd9f372-74fb-4c7d-b2a3-ea540c5917f2,IK Multimedia Production srl,IK Multimedia,Manufacturer,https://ikmultimedia.com,,,
34a38932-d9fb-47ca-9bf3-8bb8724154fa,"inMusic, Inc.",inMusic,Manufacturer,https://www.inmusicbrands.com/,,,
2f5610b9-b864-4c87-9ece-73c73aad85f5,"iZotope, Inc.",iZotope,Manufacturer,https://iZotope.com,,,
1b2db20e-dfe8-43e9-a5f6-931d2858b6bc,Jam Origin,Jam Origin,Manufacturer,https://www.jamorigin.com/,,,
685459eb-d0e8-444b-b385-4f44a1f0d6d7,Korg Inc.,Korg,Manufacturer,https://www.korg.com,,,
f4ad6589-72fe-48ac-84c0-7b750cbd1231,"Yamaha Guitar Group, Inc.",Line 6,Manufacturer,https://www.line6.com,,,
41b45c81-1a9b-4919-a33a-7ecb07176c22,"Muse Hub, LLC.",MuseHub,Manufacturer,https://www.musehub.com/,,,
1f13ae58-faac-41b6-82a3-01a7e8407503,MuseScore Ltd,MuseScore,Manufacturer,https://musescore.org,,,
6043e646-22d0-444e-b983-fec8a455ebb9,MusicDevelopments,MusicDevelopments,Manufacturer,https://www.musicdevelopments.com/,,,
725a2764-55b5-4e7c-a469-a4970c0aa267,Native Instruments GmbH,Native Instruments,Manufacturer,https://native-instruments.com,,,
714bbe1d-cee1-426d-accf-60637d005a94,Neural DSP Technologies Oy,Neural DSP,Manufacturer,https://neuraldsp.com,,,
d052ae2f-45f6-4ca3-afc2-318cef074283,"Output, Inc.",Output,Manufacturer,https://www.output.com,,,
9f9942af-ff16-4b02-b7e4-08f390602b1e,PACE Anti-Piracy,PACE Anti-Piracy,Manufacturer,https://paceap.com/,,,
d7fc8458-8d70-47c6-b4d0-90defac39616,Positive Grid Limited,Positive Grid,Manufacturer,https://www.positivegrid.com/,,,
0a6046f0-83a9-4d98-b12c-cee6eee51bc1,Reason Studios,Reason Studios,Manufacturer,https://www.reasonstudios.com,,,
ea8cd6c6-4d59-4e81-b9fa-889b421aaa31,"Rogue Amoeba Software, Inc",Rogue Amoeba,Manufacturer,https://rogueamoeba.com/,,,
ffda3519-1fa9-450c-a1e9-baf74cf387df,Roland Corporation,Roland,Manufacturer,https://www.roland.com,,,
4767d939-a7a3-419f-b0b1-13157547e35b,Scaler Music,Scaler,Manufacturer,https://scalermusic.com/,,,
217fac0c-b73f-4037-9617-75f0005ee381,Sonarworks Inc.,Sonarworks,Manufacturer,https://www.sonarworks.com/,,,
62738450-80fd-4c4f-a634-8052e77c9865,8DIO Productions LLC,Soundpaint,Manufacturer,https://www.soundpaint.com,,,
fbb3f0b2-efb1-40ee-8e89-685698697155,"Soundtoys, Inc.",Soundtoys,Manufacturer,https://www.soundtoys.com/,,,
e8e108d6-0773-48b9-9b72-198a5d9ca61b,Spectrasonics Inc.,Spectrasonics,Manufacturer,https://www.spectrasonics.net/,,,
56967aa4-ef65-456d-9c0e-3e2c0846ddf6,Spitfire Audio Holdings Ltd,Spitfire Audio,Manufacturer,https://www.spitfireaudio.com,,,
e0794cc7-d1f3-4432-8e83-cdc6052c1cc3,Steinberg Media Technologies GmbH,Steinberg,Manufacturer,https://www.steinberg.net/,,,
ced5a791-ce04-40a1-aaef-9837cd76de2a,Toontrack Music AB,Toontrack,Manufacturer,https://www.toontrack.com,,,
3db42cd7-d301-48f9-a79f-70e3adb4ee0c,"Universal Audio, Inc.",Universal Audio,Manufacturer,https://www.uaudio.com,,,
e82d54b2-2be1-469a-896f-266f4259446b,W.A. Production,W.A. Production,Manufacturer,https://www.waproduction.com/,,,
52ca057c-1c70-4093-81ad-720a2ba3ac60,Waves Audio Ltd.,Waves,Manufacturer,https://www.waves.com/,,,
db732f6f-f1e5-402e-ae06-529345991895,XLN Audio AB,XLN Audio,Manufacturer,https://www.xlnaudio.com/,,,
73b5354f-9110-485e-a49e-df2f9db23ff0,Yamaha Corporation,Yamaha,Manufacturer,https://usa.yamaha.com/index.html,,,
ae7ca652-5568-4f38-abb1-ad32e012686f,Soundminer Inc.,Soundminer,Manufacturer,https://store.soundminer.com/,,,
